Timer started ...
MOD: delay(30 30), type(tBUF), from(CE_RAM.OUT), to(CE_RAM.PAD)
NET: delay(0 0), type(   ), from(CLK.PAD), to(TB_2ms.C )
NET: delay(0 0), type(   ), from(CLK.PAD), to(TB_1ms.C )
NET: delay(0 0), type(   ), from(CLK.PAD), to(TB_500us.C )
NET: delay(0 0), type(   ), from(CLK.PAD), to(TB_200us.C )
NET: delay(0 0), type(   ), from(CLK.PAD), to(TB_100us.C )
NET: delay(0 0), type(   ), from(CLK.PAD), to(TB_50us.C )
NET: delay(0 0), type(   ), from(CLK.PAD), to(TB_20us.C )
NET: delay(0 0), type(   ), from(CLK.PAD), to(TB_10us.C )
NET: delay(0 0), type(   ), from(CLK.PAD), to(TB_5us.C )
NET: delay(0 0), type(   ), from(CLK.PAD), to(TB_2us.C )
NET: delay(0 0), type(   ), from(CLK.PAD), to(TB_1us.C )
NET: delay(0 0), type(   ), from(CLK.PAD), to(TB_1us.D )
NET: delay(0 0), type(   ), from(CLK.PAD), to(WRAD.C )
NET: delay(0 0), type(   ), from(CLR.PAD), to(H0_OUTPUT_QC.AR )
NET: delay(0 0), type(   ), from(CLR.PAD), to(G0_OUTPUT_QC.AR )
NET: delay(0 0), type(   ), from(CLR.PAD), to(F0_OUTPUT_QC.AR )
NET: delay(0 0), type(   ), from(CLR.PAD), to(E0_OUTPUT_QC.AR )
NET: delay(0 0), type(   ), from(CLR.PAD), to(D0_OUTPUT_QC.AR )
NET: delay(0 0), type(   ), from(CLR.PAD), to(TB_50ms.AR )
NET: delay(0 0), type(   ), from(CLR.PAD), to(TB_20ms.AR )
NET: delay(0 0), type(   ), from(CLR.PAD), to(TB_10ms.AR )
NET: delay(0 0), type(   ), from(CLR.PAD), to(TB_5ms.AR )
NET: delay(0 0), type(   ), from(CLR.PAD), to(TB_2ms.AR )
NET: delay(0 0), type(   ), from(CLR.PAD), to(TB_1ms.AR )
NET: delay(0 0), type(   ), from(CLR.PAD), to(TB_500us.AR )
NET: delay(0 0), type(   ), from(CLR.PAD), to(TB_200us.AR )
NET: delay(0 0), type(   ), from(CLR.PAD), to(TB_100us.AR )
NET: delay(0 0), type(   ), from(CLR.PAD), to(TB_50us.AR )
NET: delay(0 0), type(   ), from(CLR.PAD), to(TB_20us.AR )
NET: delay(0 0), type(   ), from(CLR.PAD), to(TB_10us.AR )
NET: delay(0 0), type(   ), from(CLR.PAD), to(TB_5us.AR )
NET: delay(0 0), type(   ), from(CLR.PAD), to(TB_2us.AR )
NET: delay(0 0), type(   ), from(CLR.PAD), to(TB_1us.AR )
NET: delay(0 0), type(   ), from(R2.PAD), to(N_49.AR )
NET: delay(0 0), type(   ), from(R2.PAD), to(READ.AR )
NET: delay(0 0), type(   ), from(R2.PAD), to(READY.AP )
NET: delay(0 0), type(   ), from(R3.PAD), to(C8.C )
NET: delay(0 0), type(   ), from(S1.PAD), to(C8.AR )
NET: delay(0 0), type(   ), from(S2.PAD), to(N_57.C )
NET: delay(0 0), type(   ), from(N_57.Q ), to(N_57.D )
NET: delay(0 0), type(   ), from(N_57.Q ), to(A11.C )
NET: delay(0 0), type(   ), from(N_57.Q ), to(A10.C )
NET: delay(0 0), type(   ), from(N_57.Q ), to(A09.C )
NET: delay(0 0), type(   ), from(N_57.Q ), to(A08.C )
NET: delay(0 0), type(   ), from(N_57.Q ), to(A07.C )
NET: delay(0 0), type(   ), from(N_57.Q ), to(A06.C )
NET: delay(0 0), type(   ), from(N_57.Q ), to(A05.C )
NET: delay(0 0), type(   ), from(N_57.Q ), to(A04.C )
NET: delay(0 0), type(   ), from(N_57.Q ), to(A03.C )
NET: delay(0 0), type(   ), from(N_57.Q ), to(A02.C )
NET: delay(0 0), type(   ), from(N_57.Q ), to(A01.C )
NET: delay(0 0), type(   ), from(N_57.Q ), to(A00.C )
NET: delay(0 0), type(   ), from(N_57.Q ), to(A00.D )
NET: delay(0 0), type(   ), from(N_57.Q ), to(WRAD.D )
NET: delay(0 0), type(   ), from(N_57.Q ), to(CE_RAM )
NET: delay(0 0), type(   ), from(N_49.Q ), to(A11.C )
NET: delay(0 0), type(   ), from(N_49.Q ), to(A10.C )
NET: delay(0 0), type(   ), from(N_49.Q ), to(A09.C )
NET: delay(0 0), type(   ), from(N_49.Q ), to(A08.C )
NET: delay(0 0), type(   ), from(N_49.Q ), to(A07.C )
NET: delay(0 0), type(   ), from(N_49.Q ), to(A06.C )
NET: delay(0 0), type(   ), from(N_49.Q ), to(A05.C )
NET: delay(0 0), type(   ), from(N_49.Q ), to(A04.C )
NET: delay(0 0), type(   ), from(N_49.Q ), to(A03.C )
NET: delay(0 0), type(   ), from(N_49.Q ), to(A02.C )
NET: delay(0 0), type(   ), from(N_49.Q ), to(A01.C )
NET: delay(0 0), type(   ), from(N_49.Q ), to(A00.C )
NET: delay(0 0), type(   ), from(N_49.Q ), to(A00.D )
NET: delay(0 0), type(   ), from(N_49.Q ), to(CE_RAM )
NET: delay(0 0), type(   ), from(C8.Q ), to(A11.AR )
NET: delay(0 0), type(   ), from(C8.Q ), to(A10.AR )
NET: delay(0 0), type(   ), from(C8.Q ), to(A09.AR )
NET: delay(0 0), type(   ), from(C8.Q ), to(A08.AR )
NET: delay(0 0), type(   ), from(C8.Q ), to(A07.AR )
NET: delay(0 0), type(   ), from(C8.Q ), to(A06.AR )
NET: delay(0 0), type(   ), from(C8.Q ), to(A05.AR )
NET: delay(0 0), type(   ), from(C8.Q ), to(A04.AR )
NET: delay(0 0), type(   ), from(C8.Q ), to(A03.AR )
NET: delay(0 0), type(   ), from(C8.Q ), to(A02.AR )
NET: delay(0 0), type(   ), from(C8.Q ), to(A01.AR )
NET: delay(0 0), type(   ), from(C8.Q ), to(A00.AR )
NET: delay(0 0), type(   ), from(WRAD.Q ), to(N_57.AR )
NET: delay(0 0), type(   ), from(WRAD.Q ), to(N_57.D )
NET: delay(0 0), type(   ), from(A11.Q ), to(N_49.C )
NET: delay(0 0), type(   ), from(A11.Q ), to(A11.D )
NET: delay(0 0), type(   ), from(A11.Q ), to(READ.C )
NET: delay(0 0), type(   ), from(A11.Q ), to(READY.C )
NET: delay(0 0), type(   ), from(A00.Q ), to(A01.D )
NET: delay(0 0), type(   ), from(A00.Q ), to(A00.D )
NET: delay(0 0), type(   ), from(A01.Q ), to(A02.D )
NET: delay(0 0), type(   ), from(A01.Q ), to(A01.D )
NET: delay(0 0), type(   ), from(A02.Q ), to(A03.D )
NET: delay(0 0), type(   ), from(A02.Q ), to(A02.D )
NET: delay(0 0), type(   ), from(A03.Q ), to(A04.D )
NET: delay(0 0), type(   ), from(A03.Q ), to(A03.D )
NET: delay(0 0), type(   ), from(A04.Q ), to(A05.D )
NET: delay(0 0), type(   ), from(A04.Q ), to(A04.D )
NET: delay(0 0), type(   ), from(A05.Q ), to(A06.D )
NET: delay(0 0), type(   ), from(A05.Q ), to(A05.D )
NET: delay(0 0), type(   ), from(A06.Q ), to(A07.D )
NET: delay(0 0), type(   ), from(A06.Q ), to(A06.D )
NET: delay(0 0), type(   ), from(A07.Q ), to(A08.D )
NET: delay(0 0), type(   ), from(A07.Q ), to(A07.D )
NET: delay(0 0), type(   ), from(A08.Q ), to(A09.D )
NET: delay(0 0), type(   ), from(A08.Q ), to(A08.D )
NET: delay(0 0), type(   ), from(A09.Q ), to(A10.D )
NET: delay(0 0), type(   ), from(A09.Q ), to(A09.D )
NET: delay(0 0), type(   ), from(A10.Q ), to(A11.D )
NET: delay(0 0), type(   ), from(A10.Q ), to(A10.D )
NET: delay(0 0), type(   ), from(TB_1us.Q ), to(TB_5us.D )
NET: delay(0 0), type(   ), from(TB_1us.Q ), to(TB_2us.D )
NET: delay(0 0), type(   ), from(TB_1us.Q ), to(TB_1us.D )
NET: delay(0 0), type(   ), from(TB_2us.Q ), to(H0_OUTPUT_QC.D )
NET: delay(0 0), type(   ), from(TB_2us.Q ), to(TB_5us.D )
NET: delay(0 0), type(   ), from(TB_2us.Q ), to(TB_2us.D )
NET: delay(0 0), type(   ), from(TB_5us.Q ), to(TB_10us.D )
NET: delay(0 0), type(   ), from(TB_5us.Q ), to(TB_5us.D )
NET: delay(0 0), type(   ), from(TB_5us.Q ), to(TB_2us.D )
NET: delay(0 0), type(   ), from(TB_10us.Q ), to(TB_50us.D )
NET: delay(0 0), type(   ), from(TB_10us.Q ), to(TB_20us.D )
NET: delay(0 0), type(   ), from(TB_10us.Q ), to(TB_10us.D )
NET: delay(0 0), type(   ), from(TB_20us.Q ), to(G0_OUTPUT_QC.D )
NET: delay(0 0), type(   ), from(TB_20us.Q ), to(TB_50us.D )
NET: delay(0 0), type(   ), from(TB_20us.Q ), to(TB_20us.D )
NET: delay(0 0), type(   ), from(TB_50us.Q ), to(TB_100us.D )
NET: delay(0 0), type(   ), from(TB_50us.Q ), to(TB_50us.D )
NET: delay(0 0), type(   ), from(TB_50us.Q ), to(TB_20us.D )
NET: delay(0 0), type(   ), from(TB_100us.Q ), to(TB_500us.D )
NET: delay(0 0), type(   ), from(TB_100us.Q ), to(TB_200us.D )
NET: delay(0 0), type(   ), from(TB_100us.Q ), to(TB_100us.D )
NET: delay(0 0), type(   ), from(TB_200us.Q ), to(F0_OUTPUT_QC.D )
NET: delay(0 0), type(   ), from(TB_200us.Q ), to(TB_500us.D )
NET: delay(0 0), type(   ), from(TB_200us.Q ), to(TB_200us.D )
NET: delay(0 0), type(   ), from(TB_500us.Q ), to(TB_1ms.D )
NET: delay(0 0), type(   ), from(TB_500us.Q ), to(TB_500us.D )
NET: delay(0 0), type(   ), from(TB_500us.Q ), to(TB_200us.D )
NET: delay(0 0), type(   ), from(TB_1ms.Q ), to(TB_5ms.D )
NET: delay(0 0), type(   ), from(TB_1ms.Q ), to(TB_2ms.D )
NET: delay(0 0), type(   ), from(TB_1ms.Q ), to(TB_1ms.D )
NET: delay(0 0), type(   ), from(TB_2ms.Q ), to(E0_OUTPUT_QC.D )
NET: delay(0 0), type(   ), from(TB_2ms.Q ), to(TB_5ms.D )
NET: delay(0 0), type(   ), from(TB_2ms.Q ), to(TB_2ms.D )
NET: delay(0 0), type(   ), from(TB_5ms.Q ), to(TB_10ms.D )
NET: delay(0 0), type(   ), from(TB_5ms.Q ), to(TB_5ms.D )
NET: delay(0 0), type(   ), from(TB_5ms.Q ), to(TB_2ms.D )
NET: delay(0 0), type(   ), from(TB_10ms.Q ), to(TB_50ms.D )
NET: delay(0 0), type(   ), from(TB_10ms.Q ), to(TB_20ms.D )
NET: delay(0 0), type(   ), from(TB_10ms.Q ), to(TB_10ms.D )
NET: delay(0 0), type(   ), from(TB_20ms.Q ), to(D0_OUTPUT_QC.D )
NET: delay(0 0), type(   ), from(TB_20ms.Q ), to(TB_50ms.D )
NET: delay(0 0), type(   ), from(TB_20ms.Q ), to(TB_20ms.D )
NET: delay(0 0), type(   ), from(TB_50ms.Q ), to(TB_50ms.D )
NET: delay(0 0), type(   ), from(TB_50ms.Q ), to(TB_20ms.D )
NET: delay(0 0), type(   ), from(D0_OUTPUT_QC.Q ), to(D0_OUTPUT_QC.D )
NET: delay(0 0), type(   ), from(D0_OUTPUT_QC.Q ), to(TB_50ms.D )
NET: delay(0 0), type(   ), from(E0_OUTPUT_QC.Q ), to(E0_OUTPUT_QC.D )
NET: delay(0 0), type(   ), from(E0_OUTPUT_QC.Q ), to(TB_5ms.D )
NET: delay(0 0), type(   ), from(F0_OUTPUT_QC.Q ), to(F0_OUTPUT_QC.D )
NET: delay(0 0), type(   ), from(F0_OUTPUT_QC.Q ), to(TB_500us.D )
NET: delay(0 0), type(   ), from(G0_OUTPUT_QC.Q ), to(G0_OUTPUT_QC.D )
NET: delay(0 0), type(   ), from(G0_OUTPUT_QC.Q ), to(TB_50us.D )
NET: delay(0 0), type(   ), from(H0_OUTPUT_QC.Q ), to(H0_OUTPUT_QC.D )
NET: delay(0 0), type(   ), from(H0_OUTPUT_QC.Q ), to(TB_5us.D )
Fmax/Tpd has been written in: .\control.lco
Timing result in log-file: .\control.tlg
Timer ended.
